epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750153740,17527.975,17527.975,17526.914,17526.914,1.061,-1.094,-6.05318E-05,-5.93836E-05,0,17531.86823,1.061,0,0,0,1
1750153800,17526.882,17526.882,17525.833,17525.833,1.049,-1.081,-5.98509E-05,-0.000059855,0,17530.77091,1.049,0,0,0,1
1750153860,17525.824,17527.547,17525.734,17526.759,1.813,0.926,5.33498E-05,-3.70809E-05,6.490047659,17530.04147,0.935,0.788,0.09,0.878,0
1750153920,17526.72,17526.72,17525.587,17525.587,1.133,-1.172,-6.46442E-05,-3.79847E-05,6.452961672,17529.23156,1.133,0,0,0,1
1750153980,17525.561,17525.561,17524.462,17524.462,1.099,-1.125,-6.27084E-05,-3.88771E-05,6.399889419,17528.36436,1.099,0,0,0,1
1750155000,17545.589,17545.589,17544.652,17544.652,0.937,-0.941,-5.34037E-05,-4.90123E-05,64.70867948,17533.30336,0.937,0,0,0,1
1750155060,17544.643,17544.643,17543.722,17543.722,0.921,-0.93,-5.24947E-05,-4.65824E-05,64.77934588,17535.19765,0.921,0,0,0,1
1750155120,17543.719,17543.719,17542.722,17542.722,0.997,-1,-5.68295E-05,-4.54066E-05,64.69420286,17536.56571,0.997,0,0,0,1
1750155180,17542.698,17542.698,17541.52,17541.52,1.178,-1.202,-6.71504E-05,-4.67736E-05,64.39526792,17537.46648,1.178,0,0,0,1
1750155240,17541.512,17546.896,17541.155,17546.154,5.741,4.634,0.000264629,6.95022E-06,70.32009724,17539.04603,4.642,0.742,0.357,1.099,0
1750155300,17546.153,17546.153,17545.076,17545.076,1.077,-1.078,-0.000061381,5.35478E-06,70.28805751,17540.14238,1.077,0,0,0,1
1750155360,17545.046,17545.046,17544.111,17544.111,0.935,-0.965,-5.32914E-05,5.19543E-06,70.41817767,17540.86394,0.935,0,0,0,1
1750155420,17544.09,17544.09,17543.026,17543.026,1.064,-1.085,-6.06472E-05,4.43188E-06,70.43425325,17541.25704,1.064,0,0,0,1
1750155480,17542.988,17542.988,17541.968,17541.968,1.02,-1.058,-5.81429E-05,6.23339E-06,70.47536865,17541.3863,1.02,0,0,0,1
1750155780,17536.901,17536.901,17536.901,17536.901,0,-5.067,0,-4.66925E-05,62.02876207,17540.25094,0,0,0,0,0
1750155840,17536.882,17536.882,17535.962,17535.962,0.92,-0.939,-5.24609E-05,-4.49085E-05,62.24166687,17539.47113,0.92,0,0,0,1
1750155900,17535.959,17535.959,17535.026,17535.026,0.933,-0.936,-0.000053205,-4.48912E-05,59.98888379,17538.66292,0.933,0,0,0,1
1750155960,17535.012,17557.485,17534.076,17557.328,23.409,22.302,0.001272654,0.000221769,75.38833165,17542.05656,22.316,0.157,0.936,1.093,0
1750156020,17557.325,17557.325,17556.132,17556.132,1.193,-1.196,-6.79488E-05,0.000219808,75.30280272,17544.61573,1.193,0,0,0,1
1750156080,17556.112,17556.112,17554.947,17554.947,1.165,-1.185,-6.63587E-05,0.000206536,61.81242399,17546.49413,1.165,0,0,0,1
1750156140,17554.946,17554.946,17553.9,17553.9,1.046,-1.047,-5.95843E-05,0.000205111,61.64690804,17547.84065,1.046,0,0,0,1
1750156200,17553.893,17553.893,17553.064,17553.064,0.829,-0.836,-0.000047226,0.000206307,61.8791638,17548.79034,0.829,0,0,0,1
1750156260,17553.064,17553.064,17552.186,17552.186,0.878,-0.878,-5.00198E-05,-5.82275E-05,62.34319308,17549.40773,0.878,0,0,0,1
1750156320,17552.174,17552.174,17551.136,17551.136,1.038,-1.05,-0.000059138,-5.64653E-05,56.28691131,17549.72195,1.038,0,0,0,1
1750156380,17551.103,17551.103,17550.049,17550.049,1.054,-1.087,-6.00532E-05,-5.52043E-05,56.27412884,17549.78141,1.054,0,0,0,1
1750156440,17550.046,17550.046,17549.087,17549.087,0.959,-0.962,-5.46437E-05,-5.42161E-05,56.27838902,17549.65515,0.959,0,0,0,1
1750156500,17549.086,17549.086,17548.134,17548.134,0.952,-0.953,-5.42478E-05,-5.56205E-05,56.46647762,17549.37857,0.952,0,0,0,1
1750156560,17548.128,17548.128,17546.918,17546.918,1.21,-1.216,-6.89532E-05,-5.94072E-05,56.24148888,17548.93119,1.21,0,0,0,1
1750156620,17546.886,17546.886,17545.777,17545.777,1.109,-1.141,-6.32021E-05,-0.00006022,62.42163009,17548.35769,1.109,0,0,0,1
1750157880,17552.344,17552.344,17551.534,17551.534,0.81,5.757,-4.61477E-05,-5.74389E-05,69.20288068,17548.9352,0.81,0,0,0,1
1750157940,17551.504,17551.504,17550.476,17550.476,1.028,-1.058,-5.85705E-05,-5.82243E-05,68.99527884,17549.21534,1.028,0,0,0,1
1750158000,17550.462,17550.462,17549.438,17549.438,1.024,-1.038,-0.000058346,-5.90439E-05,29.66914038,17549.25581,1.024,0,0,0,1
1750158060,17549.412,17549.412,17548.39,17548.39,1.022,-1.048,-5.82356E-05,-5.69004E-05,29.89717491,17549.09839,1.022,0,0,0,1
1750158120,17548.365,17548.365,17547.306,17547.306,1.059,-1.084,-6.03475E-05,-5.63295E-05,30.05481597,17548.77249,1.059,0,0,0,1
1750158180,17547.277,17547.277,17546.414,17546.414,0.863,-0.892,-4.91814E-05,-5.69362E-05,30.3,17548.34367,0.863,0,0,0,1
1750158300,17544.71,17544.71,17544.358,17544.358,0.352,-2.056,-0.000020063,-4.92347E-05,28.47181009,17547.619,0.352,0,0,0,1
1750158900,17541.544,17541.544,17541.032,17541.032,0.512,-3.326,-2.91879E-05,-4.34031E-05,25.39703547,17546.42135,0.512,0,0,0,1
1750200780,17451.701,17451.701,17450.962,17450.962,0.739,-90.07,-4.23454E-05,-0.000040225,5.154537641,17529.0651,0.739,0,0,0,1
1750200840,17450.948,17450.948,17449.923,17449.923,1.025,-1.039,-5.87361E-05,-3.99028E-05,5.156753852,17514.67545,1.025,0,0,0,1
1750200900,17449.916,17449.916,17448.93,17448.93,0.986,-0.993,-5.65046E-05,-4.13674E-05,5.155322331,17502.72173,0.986,0,0,0,1
1750200960,17448.917,17448.917,17447.748,17447.748,1.169,-1.182,-6.69956E-05,-5.07539E-05,5.144772118,17492.7265,1.169,0,0,0,1
1750201020,17447.736,17447.736,17446.861,17446.861,0.875,-0.887,-5.01498E-05,-5.49463E-05,5.159942996,17484.38731,0.875,0,0,0,1
1750201080,17446.854,17446.854,17445.781,17445.781,1.073,-1.08,-6.15011E-05,-5.87774E-05,5.162765671,17477.36797,1.073,0,0,0,1
1750201140,17445.755,17445.755,17444.742,17444.742,1.013,-1.039,-5.80657E-05,-5.86433E-05,0,17471.43597,1.013,0,0,0,1
1750201200,17444.731,17444.731,17443.671,17443.671,1.06,-1.071,-6.07633E-05,-5.94951E-05,0,17466.38779,1.06,0,0,0,1
1750201260,17443.655,17443.655,17442.649,17442.649,1.006,-1.022,-5.76714E-05,-5.76303E-05,0,17462.07164,1.006,0,0,0,1
1750201320,17442.646,17442.646,17441.352,17441.352,1.294,-1.297,-0.000074186,-6.24375E-05,0,17458.30443,1.294,0,0,0,1
1750201380,17441.343,17441.343,17440.16,17440.16,1.183,-1.192,-6.78273E-05,-6.37028E-05,0,17455.00543,1.183,0,0,0,1
1750201440,17440.147,17440.147,17438.982,17438.982,1.165,-1.178,-6.67999E-05,-6.54496E-05,0,17452.09208,1.165,0,0,0,1
1750201500,17438.963,17438.963,17438.066,17438.066,0.897,-0.916,-5.14365E-05,-6.35842E-05,0,17449.54187,0.897,0,0,0,1
1750201560,17438.064,17438.064,17437.008,17437.008,1.056,-1.058,-6.05572E-05,-6.41614E-05,0,17447.26298,1.056,0,0,0,1
1750201620,17436.977,17436.977,17435.668,17435.668,1.309,-1.34,-7.50704E-05,-6.43383E-05,0,17445.1548,1.309,0,0,0,1
1750201680,17435.666,17435.666,17434.509,17434.509,1.157,-1.159,-6.63582E-05,-6.40444E-05,0,17443.21919,1.157,0,0,0,1
1750201740,17434.48,17434.48,17433.42,17433.42,1.06,-1.089,-6.07991E-05,-6.28443E-05,0,17441.43752,1.06,0,0,0,1
1750202700,17427.019,17427.019,17426.931,17426.931,0.088,-6.489,-5.04963E-06,-5.35669E-05,0,17438.79996,0.088,0,0,0,1
1750202760,17426.926,17426.926,17425.907,17425.907,1.019,-1.024,-5.84727E-05,-0.00005315,0,17436.45578,1.019,0,0,0,1
1750202820,17425.894,17425.894,17424.872,17424.872,1.022,-1.035,-5.86484E-05,-4.98656E-05,0,17434.34963,1.022,0,0,0,1
1750202880,17424.851,17424.851,17423.72,17423.72,1.131,-1.152,-6.49073E-05,-4.95754E-05,0,17432.41697,1.131,0,0,0,1
1750202940,17423.693,17423.693,17422.676,17422.676,1.017,-1.044,-5.83688E-05,-4.90894E-05,0,17430.64587,1.017,0,0,0,1
